Ticker,HeldPctInstitutions,HeldPctInsiders
IBM,0.65597,0.00117
INTC,0.64035004,0.1472
CSCO,0.82913,0.00055
ORCL,0.43978,0.40543997
AAPL,0.65830004,0.01632
MSFT,0.75778997,0.0008
TXN,0.92609,0.00279
QCOM,0.84806997,0.0012800001
ADBE,0.8663,0.00223
AMAT,0.85137004,0.0030500002
MU,0.81608003,0.0025499999
HPQ,0.95088995,0.0028600001
ADI,0.93547994,0.00243
KLAC,0.93792,0.00095
LRCX,0.88091004,0.0028
INTU,0.92262,0.02352
ADSK,0.97275,0.00215
GLW,0.73801005,0.081750005
SNPS,0.91346,0.029849999
CDNS,0.91109,0.0029300002
NTAP,1.0584201,0.00592
WDC,1.01197,0.00542
TER,0.96458,0.00273
MSI,0.90252,0.0039
T,0.69285005,0.00086000003
VZ,0.70365,0.00037
CMCSA,0.93666,0.0073900004
DIS,0.78309995,0.00064000004
OMC,1.12064,0.00902
EA,0.95191,0.00227
TTWO,0.93864995,0.0136
LUMN,0.73249,0.08031
HD,0.76116997,0.00068000006
MCD,0.77202004,0.00257
NKE,0.82532,0.014630001
LOW,0.8125,0.00107
TGT,0.87602997,0.00278
F,0.67489,0.0028900001
SBUX,0.86807,0.0012800001
YUM,0.89677,0.0015700001
TJX,0.93978,0.00155
ROST,0.94632006,0.021259999
BBY,0.99267995,0.06461
AZO,0.92656,0.00242
GPC,0.93619,0.00451
WHR,1.03401,0.00737
RCL,0.90330005,0.01818
CCL,0.73195,0.00261
HAS,0.97341,0.00629
MGM,0.67896,0.2741
LEN,0.95019996,0.06658
PHM,0.96826,0.00658
DHI,0.88785005,0.1161
EBAY,0.9632,0.00478
HOG,1.08744,0.0112
VFC,0.91488,0.01155
KO,0.68254,0.09897
PG,0.71922994,0.00066
PEP,0.8087,0.00184
WMT,0.38089,0.44951
COST,0.73796,0.00161
CL,0.88084,0.00148
KMB,0.93111,0.00708
GIS,0.90575,0.00287
HSY,0.8783,0.0030399999
SYY,0.89774,0.00202
KR,0.81047994,0.0844
ADM,0.87146,0.00661
MO,0.63528,0.0013
CLX,0.86345,0.00612
TSN,0.92377996,0.025929999
CPB,0.6344,0.37463
CAG,0.90166,0.00684
HRL,0.9393,0.00476
MKC,0.9497,0.00026
XOM,0.68813,0.00086000003
CVX,0.7065,0.04729
COP,0.87547,0.00125
SLB,0.92877996,0.00219
HAL,0.89404,0.00467
OXY,0.55158,0.26936
EOG,0.97749,0.00285
APA,1.06058,0.00438
DVN,0.50031,0.0067000003
VLO,0.87842005,0.0041
WMB,0.89135003,0.00447
OKE,0.83505,0.00164
BKR,0.9978,0.00151
JPM,0.75638,0.0038299998
BAC,0.70639,0.073410004
WFC,0.78731,0.00090000004
C,0.81586,0.00253
GS,0.74632,0.00524
MS,0.62764,0.24311
AXP,0.65315,0.22332
USB,0.85665,0.0013
PNC,0.85882,0.00303
TFC,0.77141,0.00178
BK,0.87861997,0.00241
STT,0.96933997,0.00366
SCHW,0.84484,0.061680004
COF,0.88115996,0.01895
AIG,1.00032,0.0057099997
ALL,0.85502,0.00504
AFL,0.59834,0.10896
PGR,0.90313005,0.0024899999
TRV,0.87908,0.0026699998
CB,0.84907997,0.09405
CINF,0.71772003,0.01709
L,0.61891997,0.18905
AON,0.91932,0.01165
NTRS,0.86441004,0.00851
KEY,0.88926005,0.0028900001
FITB,0.91262,0.00354
HBAN,0.89515996,0.00805
MTB,0.93136,0.0033399998
ZION,0.81112,0.01505
BEN,0.51403,0.48494998
TROW,0.89968,0.01768
BLK,0.84347,0.0191
SPGI,0.90990996,0.00275
JNJ,0.76833,0.0005
PFE,0.69369006,0.00096000003
MRK,0.82297,0.00061
ABT,0.82666,0.00495
LLY,0.85335,0.00155
BMY,0.83755,0.00083
AMGN,0.8543,0.0021799998
GILD,0.92219,0.00121
BIIB,0.96586,0.0017499999
MDT,0.89447,0.0030500002
BSX,0.9503,0.0023100001
BDX,0.99284,0.00414
BAX,1.06524,0.00339
SYK,0.82365996,0.05366
CVS,0.89992,0.00064000004
UNH,0.85917,0.00241
HUM,0.99932,0.00208
CI,0.9275,0.01435
CAH,0.89873004,0.00259
MCK,0.93527,0.00062
DHR,0.84757006,0.10739
TMO,0.94306,0.0015199999
A,0.94034,0.0019400001
IDXX,0.96149004,0.00219
MTD,1.03294,0.00433
WAT,0.99649,0.00103
UHS,1.01403,0.04828
GE,0.80978996,0.00302
HON,0.81803,0.00052
MMM,0.77553004,0.00098
CAT,0.72870004,0.0021799998
DE,0.82838,0.0016
BA,0.75405,0.00051
LMT,0.75995004,0.00103
NOC,0.84366,0.00244
GD,0.87934,0.00526
RTX,0.81561,0.00084
EMR,0.85077006,0.00226
ETN,0.88004,0.00056
ITW,0.86498,0.0037599998
PH,0.91174006,0.00187
CMI,0.87971,0.00215
FDX,0.81487,0.07458
UNP,0.90900004,0.00074
CSX,0.82044,0.0022200001
NSC,0.78253996,0.00046999997
LUV,0.89475,0.0101
PCAR,0.76028997,0.01859
ROK,0.91075,0.0017299999
DOV,0.94728994,0.01255
SWK,0.95658994,0.0030399999
GWW,0.75943,0.06266
WM,0.86222,0.0024899999
FAST,0.88143,0.00087
