Ticker,Sector,SharesOutstanding,MarketCap,FirstDate,LastDate,NObs
IBM,Information Technology,939885280,255987154944,1999-01-04,2026-03-31,6852
INTC,Information Technology,5026000000,537983025152,1999-01-04,2026-03-31,6852
CSCO,Information Technology,3941434665,468242432000,1999-01-04,2026-03-31,6852
ORCL,Information Technology,2876046000,578833022976,1999-01-04,2026-03-31,6852
AAPL,Information Technology,14687356000,4282539048960,1999-01-04,2026-03-31,6852
MSFT,Information Technology,7428434704,2951762673664,1999-01-04,2026-03-31,6852
TXN,Information Technology,910092791,256655278080,1999-01-04,2026-03-31,6852
QCOM,Information Technology,1054000000,201524789248,1999-01-04,2026-03-31,6852
ADBE,Information Technology,404200000,94332198912,1999-01-04,2026-03-31,6852
AMAT,Information Technology,793959430,394605789184,1999-01-04,2026-03-31,6852
MU,Information Technology,1127734051,1005803405312,1999-01-04,2026-03-31,6852
HPQ,Information Technology,914522690,22579566592,1999-01-04,2026-03-31,6852
ADI,Information Technology,487087040,191264473088,1999-01-04,2026-03-31,6852
KLAC,Information Technology,130627521,278973349888,1999-01-04,2026-03-31,6852
LRCX,Information Technology,1250571000,402433736704,1999-01-04,2026-03-31,6852
INTU,Information Technology,273537000,77744685056,1999-01-04,2026-03-31,6852
ADSK,Information Technology,211145251,46722220032,1999-01-04,2026-03-31,6852
GLW,Information Technology,860637825,144733454336,1999-01-04,2026-03-31,6852
SNPS,Information Technology,191479325,88183889920,1999-01-04,2026-03-31,6852
CDNS,Information Technology,275816000,106225016832,1999-01-04,2026-03-31,6852
NTAP,Information Technology,195919927,31476494336,1999-01-04,2026-03-31,6852
WDC,Information Technology,344682131,168925265920,1999-01-04,2026-03-31,6852
TER,Information Technology,156542162,54412488704,1999-01-04,2026-03-31,6852
MSI,Information Technology,165995582,68330426368,1999-01-04,2026-03-31,6852
T,Communication Services,6948338835,161270939648,1999-01-04,2026-03-31,6852
VZ,Communication Services,4175558910,196042489856,1999-01-04,2026-03-31,6852
CMCSA,Communication Services,3562784182,85626314752,1999-01-04,2026-03-31,6852
DIS,Communication Services,1736511424,171237392384,1999-01-04,2026-03-31,6852
OMC,Communication Services,285006196,21084760064,1999-01-04,2026-03-31,6852
EA,Communication Services,250751484,50952699904,1999-01-04,2026-03-31,6852
TTWO,Communication Services,185666663,39075405824,1999-01-04,2026-03-31,6852
LUMN,Communication Services,1030311070,8510369280,1999-01-04,2026-03-31,6852
HD,Consumer Discretionary,997116682,318000463872,1999-01-04,2026-03-31,6852
MCD,Consumer Discretionary,710505859,200732098560,1999-01-04,2026-03-31,6852
NKE,Consumer Discretionary,1199499281,65099792384,1999-01-04,2026-03-31,6852
LOW,Consumer Discretionary,561000000,121282592768,1999-01-04,2026-03-31,6852
TGT,Consumer Discretionary,454191112,58127380480,1999-01-04,2026-03-31,6852
F,Consumer Discretionary,3913840554,56981106688,1999-01-04,2026-03-31,6852
SBUX,Consumer Discretionary,1139700000,112556769280,1999-01-04,2026-03-31,6852
YUM,Consumer Discretionary,275621202,41640853504,1999-01-04,2026-03-31,6852
TJX,Consumer Discretionary,1104704446,185214746624,1999-01-04,2026-03-31,6852
ROST,Consumer Discretionary,320781076,74395549696,1999-01-04,2026-03-31,6852
BBY,Consumer Discretionary,210767126,15942424576,1999-01-04,2026-03-31,6852
AZO,Consumer Discretionary,16369000,50908409856,1999-01-04,2026-03-31,6852
GPC,Consumer Discretionary,137624545,13693789184,1999-01-04,2026-03-31,6852
WHR,Consumer Discretionary,64823121,2600055296,1999-01-04,2026-03-31,6852
RCL,Consumer Discretionary,268194978,72072036352,1999-01-04,2026-03-31,6852
CCL,Consumer Discretionary,1239000212,35999776768,1999-01-04,2026-03-31,6852
HAS,Consumer Discretionary,141490692,11643269120,1999-01-04,2026-03-31,6852
MGM,Consumer Discretionary,255851235,12001981440,1999-01-04,2026-03-31,6852
LEN,Consumer Discretionary,215244398,22129901568,1999-01-04,2026-03-31,6852
PHM,Consumer Discretionary,190486353,22570727424,1999-01-04,2026-03-31,6852
DHI,Consumer Discretionary,283579613,41603969024,1999-01-04,2026-03-31,6852
EBAY,Consumer Discretionary,444000000,47246041088,1999-01-04,2026-03-31,6852
HOG,Consumer Discretionary,105268302,2570651904,1999-01-04,2026-03-31,6852
VFC,Consumer Discretionary,391769705,6428940800,1999-01-04,2026-03-31,6852
KO,Consumer Staples,4302482418,359644495872,1999-01-04,2026-03-31,6852
PG,Consumer Staples,2328598978,347077705728,1999-01-04,2026-03-31,6852
PEP,Consumer Staples,1366768315,197276925952,1999-01-04,2026-03-31,6852
WMT,Consumer Staples,7958079155,959664685056,1999-01-04,2026-03-31,6852
COST,Consumer Staples,443478804,436103774208,1999-01-04,2026-03-31,6852
CL,Consumer Staples,800189310,71977025536,1999-01-04,2026-03-31,6852
KMB,Consumer Staples,331940357,33718501376,1999-01-04,2026-03-31,6852
GIS,Consumer Staples,533681218,18049097728,1999-01-04,2026-03-31,6852
HSY,Consumer Staples,148229858,35824168960,1999-01-04,2026-03-31,6852
SYY,Consumer Staples,478182608,37556461568,1999-01-04,2026-03-31,6852
KR,Consumer Staples,616560677,39743504384,1999-01-04,2026-03-31,6852
ADM,Consumer Staples,481956527,39173423104,1999-01-04,2026-03-31,6852
MO,Consumer Staples,1669891235,122119135232,1999-01-04,2026-03-31,6852
CLX,Consumer Staples,120921351,12009908224,1999-01-04,2026-03-31,6852
TSN,Consumer Staples,282120397,19765024768,1999-01-04,2026-03-31,6852
CPB,Consumer Staples,298206243,6822958592,1999-01-04,2026-03-31,6852
CAG,Consumer Staples,478437156,6382351872,1999-01-04,2026-03-31,6852
HRL,Consumer Staples,550284207,13366404096,1999-01-04,2026-03-31,6852
MKC,Consumer Staples,253986983,13358818304,1999-01-04,2026-03-31,6852
XOM,Energy,4144947162,624311926784,1999-01-04,2026-03-31,6852
CVX,Energy,1991597732,378005258240,1999-01-04,2026-03-31,6852
COP,Energy,1218294007,146097815552,1999-01-04,2026-03-31,6852
SLB,Energy,1495057661,82990645248,1999-01-04,2026-03-31,6852
HAL,Energy,835397735,33190352896,1999-01-04,2026-03-31,6852
OXY,Energy,994634701,56793640960,1999-01-04,2026-03-31,6852
EOG,Energy,532628530,74717134848,1999-01-04,2026-03-31,6852
APA,Energy,353470227,13431869440,1999-01-04,2026-03-31,6852
DVN,Energy,1153403107,53748584448,1999-01-04,2026-03-31,6852
VLO,Energy,296932782,76605685760,1999-01-04,2026-03-31,6852
WMB,Energy,1222998265,88373854208,1999-01-04,2026-03-31,6852
OKE,Energy,630032852,57062072320,1999-01-04,2026-03-31,6852
BKR,Energy,992068697,62520168448,1999-01-04,2026-03-31,6852
JPM,Financials,2679511418,828344172544,1999-01-04,2026-03-31,6852
BAC,Financials,7096590651,387048079360,1999-01-04,2026-03-31,6852
WFC,Financials,3060189494,250843725824,1999-01-04,2026-03-31,6852
C,Financials,1705576955,227489857536,1999-01-04,2026-03-31,6852
