Ticker,Horizon,Mode,n,winshare_origin,dbar,kstar_dropk
AAPL,1d,filtered,50,0.38,-0.004469854960625873,
AAPL,1d,unfiltered,127,0.386,-0.0007560463555817881,2.0
AAPL,5d,filtered,50,0.56,0.0010930470600002229,
AAPL,5d,unfiltered,127,0.496,0.005299701401758909,
AAPL,10d,filtered,50,0.56,0.0014489429415546517,
AAPL,10d,unfiltered,127,0.48,0.0021925089498513583,
AAPL,15d,filtered,50,0.58,0.002568281927647789,
AAPL,15d,unfiltered,127,0.512,0.002296567793084896,
AAPL,1m,filtered,50,0.6,0.004588552394436975,
AAPL,1m,unfiltered,127,0.52,0.002940519529855815,
AAPL,2m,filtered,50,0.58,0.012160659622920402,
AAPL,2m,unfiltered,127,0.535,0.007031938245444563,
AAPL,3m,filtered,50,0.56,0.010367871586838663,
AAPL,3m,unfiltered,127,0.52,0.008890513337061763,
AAPL,4m,filtered,50,0.54,0.005516229706984435,
AAPL,4m,unfiltered,127,0.528,0.007357784103671063,
AAPL,5m,filtered,50,0.5,0.0025410910143762065,
AAPL,5m,unfiltered,127,0.472,0.0045483625538030896,
AAPL,6m,filtered,50,0.46,-7.910140824492373e-05,
AAPL,6m,unfiltered,127,0.465,0.004353290143335347,
AAPL,7m,filtered,50,0.44,-0.001596231987814214,
AAPL,7m,unfiltered,127,0.457,0.006925330711025943,
AAPL,8m,filtered,50,0.48,-0.003448744399845989,
AAPL,8m,unfiltered,127,0.457,0.007516584308981982,
AMZN,1d,filtered,25,0.36,-0.060340575620329295,
AMZN,1d,unfiltered,127,0.52,-0.010549690763425249,2.0
AMZN,5d,filtered,25,0.2,-0.010861030483426877,
AMZN,5d,unfiltered,127,0.535,-0.0013478165950135484,1.0
AMZN,10d,filtered,25,0.28,-0.0044824616803124506,
AMZN,10d,unfiltered,127,0.551,0.0010754720996647908,
AMZN,15d,filtered,25,0.36,-0.002785441758607039,
AMZN,15d,unfiltered,127,0.528,0.006413028215257819,
AMZN,1m,filtered,25,0.36,-0.00014684468983301003,
AMZN,1m,unfiltered,127,0.52,-0.005243688207527127,1.0
AMZN,2m,filtered,25,0.36,-0.005973790321624577,
AMZN,2m,unfiltered,127,0.528,-0.014583560857261951,4.0
AMZN,3m,filtered,25,0.4,-0.00755054698844944,
AMZN,3m,unfiltered,127,0.52,-0.00571145236561231,3.0
AMZN,4m,filtered,25,0.44,-0.014430115175745613,
AMZN,4m,unfiltered,127,0.52,-0.007907021170023705,3.0
AMZN,5m,filtered,25,0.4,-0.018386465739295303,
AMZN,5m,unfiltered,127,0.535,-0.006380259400378955,2.0
AMZN,6m,filtered,25,0.36,-0.02696839997849917,
AMZN,6m,unfiltered,127,0.472,-0.021605010348538612,6.0
AMZN,7m,filtered,25,0.32,-0.02191731871044226,
AMZN,7m,unfiltered,127,0.465,-0.022410889977547716,6.0
AMZN,8m,filtered,25,0.32,-0.018613381109046045,
AMZN,8m,unfiltered,127,0.496,-0.022094787899837758,7.0
JNJ,1d,filtered,39,0.538,0.004944244655116766,
JNJ,1d,unfiltered,127,0.528,-0.008369955117762652,4.0
JNJ,5d,filtered,39,0.487,-0.004166569115906156,
JNJ,5d,unfiltered,127,0.496,-0.006168818175677186,4.0
JNJ,10d,filtered,39,0.564,-0.008178614620860527,
JNJ,10d,unfiltered,127,0.535,-0.005177826548432792,3.0
JNJ,15d,filtered,39,0.59,-0.007120739642291578,
JNJ,15d,unfiltered,127,0.575,-0.0022648547088906343,1.0
JNJ,1m,filtered,39,0.59,-0.0034919029529636267,
JNJ,1m,unfiltered,127,0.591,-0.004013151177955542,2.0
JNJ,2m,filtered,39,0.59,0.0009142682295483576,
JNJ,2m,unfiltered,127,0.543,-0.0004605293643690214,1.0
JNJ,3m,filtered,39,0.615,-0.0027866409033134296,
JNJ,3m,unfiltered,127,0.591,0.010682986802388786,
JNJ,4m,filtered,39,0.641,-0.004674255941609728,
JNJ,4m,unfiltered,127,0.567,0.06655937700015276,
JNJ,5m,filtered,39,0.718,0.0011259532945920602,
JNJ,5m,unfiltered,127,0.559,-0.0006521274522263956,1.0
JNJ,6m,filtered,39,0.667,0.0025805911550292058,
JNJ,6m,unfiltered,127,0.543,-0.007014909194815132,4.0
JNJ,7m,filtered,39,0.692,-0.0034930216534063466,
JNJ,7m,unfiltered,127,0.583,0.008314942952207952,
JNJ,8m,filtered,39,0.59,-0.0066986228842287904,
JNJ,8m,unfiltered,127,0.488,0.05387368573923975,
JPM,1d,filtered,60,0.433,0.0015815525001035746,
JPM,1d,unfiltered,127,0.488,-0.001052111986966578,1.0
JPM,5d,filtered,60,0.617,0.004822582109679323,
JPM,5d,unfiltered,127,0.614,0.005646620932082909,
JPM,10d,filtered,60,0.617,0.015714996641451425,
JPM,10d,unfiltered,127,0.598,0.008200076989869248,
JPM,15d,filtered,60,0.667,0.010429241043591745,
JPM,15d,unfiltered,127,0.646,0.0057451106570517345,
JPM,1m,filtered,60,0.7,0.007094360990892912,
JPM,1m,unfiltered,127,0.606,0.002747420132538702,
JPM,2m,filtered,60,0.767,0.013776581051141826,
JPM,2m,unfiltered,127,0.661,-0.009268382742026491,1.0
JPM,3m,filtered,60,0.783,0.019674960365945248,
JPM,3m,unfiltered,127,0.654,-0.008823948842158891,1.0
JPM,4m,filtered,60,0.8,0.02923690126845752,
JPM,4m,unfiltered,127,0.677,-0.011182219807378603,1.0
JPM,5m,filtered,60,0.85,0.035398026184742575,
JPM,5m,unfiltered,127,0.701,-0.004967710611206492,1.0
JPM,6m,filtered,60,0.883,0.04148573854184486,
JPM,6m,unfiltered,127,0.693,-0.002068777589945739,1.0
JPM,7m,filtered,60,0.9,0.042378099483704815,
JPM,7m,unfiltered,127,0.709,0.003737359608161492,
JPM,8m,filtered,60,0.817,0.0376368140895395,
JPM,8m,unfiltered,127,0.669,0.0037906584828986106,
MSFT,1d,filtered,43,0.698,0.005081719657382824,
MSFT,1d,unfiltered,127,0.567,0.0029694419214944005,
MSFT,5d,filtered,43,0.721,0.00661302697498057,
MSFT,5d,unfiltered,127,0.646,0.012044855466017548,
MSFT,10d,filtered,43,0.767,0.007065617273401221,
MSFT,10d,unfiltered,127,0.669,0.009454690838780528,
MSFT,15d,filtered,43,0.767,0.009212142800885415,
MSFT,15d,unfiltered,127,0.63,0.011453096199431925,
MSFT,1m,filtered,43,0.721,0.00904759854227246,
MSFT,1m,unfiltered,127,0.622,0.009012280113358008,
MSFT,2m,filtered,43,0.767,0.015645503535552382,
MSFT,2m,unfiltered,127,0.646,0.0032733645127524065,
MSFT,3m,filtered,43,0.837,0.01626214795310139,
MSFT,3m,unfiltered,127,0.669,0.00048295745449648505,
MSFT,4m,filtered,43,0.767,0.018413437245227496,
MSFT,4m,unfiltered,127,0.661,0.0028661920727816553,
MSFT,5m,filtered,43,0.767,0.017082513922434393,
MSFT,5m,unfiltered,127,0.638,0.00403670246466224,
